True_Data,Base,True_Data_origin,Predicted_Data,Predicted_Data_origin
-0.146830512,37.15037918,31.69556999,-0.11463554,32.89162588
-0.155271536,37.60694885,31.76766014,-0.1072534,33.57347451
-0.149272559,37.99142838,32.32035065,-0.09984134,34.19831264
-0.144127006,37.84725189,32.3924408,-0.13676903,32.67091896
-0.141955825,38.08755112,32.68080139,-0.12865187,33.18751693
-0.161250028,38.44800186,32.2482605,-0.12015858,33.82814559
-0.103863249,37.94337082,34.00244904,-0.14138098,32.57890041
-0.096711792,37.2705307,33.66603088,-0.13302729,32.31253207
-0.121982163,37.8232193,33.20946121,-0.12532079,33.08318349
-0.086666603,36.04499817,32.92110062,-0.07163787,33.46281132
-0.092653888,36.30932999,32.94512939,-0.064432524,33.96982902
-0.065584845,35.54037094,33.20946121,-0.057836108,33.48485395
-0.086956558,35.92485046,32.8009491,-0.06898957,33.4464103
-0.10737811,36.47753906,32.56064987,-0.06211108,34.21187972
-0.065798413,35.05976868,32.75289154,-0.055001296,33.13143518
-0.051460392,34.55514145,32.77692032,-0.045387723,32.9867615
-0.064917114,34.79544067,32.53662109,-0.038769245,33.4464477
-0.021897855,32.92110062,32.20019913,-0.03208419,31.86485453
-0.031111059,32.44049835,31.43124008,-0.00193036,32.37787664
-0.038263412,32.6567688,31.4072094,0.004553856,32.80548492
-0.057971,33.16139984,31.23900032,0.010910679,33.52321161
-0.046425975,32.60871124,31.09482002,-0.036427766,31.42084971
-0.039879613,31.93586922,30.66227913,-0.030158252,30.97273829
-0.020673855,31.38318062,30.73436928,-0.024030875,30.62901567
-0.045180756,31.91184044,30.47003937,-0.031125918,30.91855559
-0.035493799,31.14287949,30.03750038,-0.025183853,30.35858168
-0.042405537,31.16691017,29.84526062,-0.01897977,30.57536883
-0.029230809,31.23900032,30.32585907,-0.039294988,30.01146511
-0.036669228,31.45527077,30.30183029,-0.033352703,30.40615153
-0.036237464,31.16691017,30.03750038,-0.027319185,30.31545534
-0.035714257,30.95063972,29.84526062,-0.023990106,30.20813094
-0.035433081,30.51810074,29.43675041,-0.017659489,29.97916679
-0.059413561,31.14287949,29.29257011,-0.011463631,30.78586866
-0.058049532,31.04676056,29.24451065,-0.050819784,29.46897181
-0.069999981,31.23900032,29.05227089,-0.044634618,29.84465878
-0.082191768,31.57542038,28.98018074,-0.03836467,30.36404047
-0.101796399,32.1040802,28.83600044,-0.09092736,29.18494086
-0.104988814,32.27228928,28.88405991,-0.0842497,29.55335939
-0.125091466,32.84901047,28.73987961,-0.07761657,30.29938287
